Geneid	control1	control2	control3	control4	necrosis1	necrosis2	necrosis3	necrosis4
FGSG_00094	0	0	0	0	0	0	0	0
FGSG_00095	2	2	1	2	0	0	0	0
FGSG_00096	0	0	0	0	0	0	0	0
FGSG_00097	26	26	13	13	0	0	0	0
FGSG_11674	0	0	1	1	0	0	0	0
FGSG_11675	15	15	18	20	0	0	9	9
FGSG_00099	7	1	0	0	0	0	0	0
FGSG_00100	115	123	14	12	0	0	1	1
FGSG_00101	7	7	1	0	0	0	0	0
FGSG_00102	20	20	3	4	0	0	0	0
FGSG_00103	0	0	0	0	0	0	3	3
FGSG_00104	0	0	0	0	0	0	0	0
FGSG_00105	0	0	0	0	0	0	1	1
FGSG_11676	0	0	0	0	7	7	2	2
FGSG_11677	1	1	1	1	2	2	3	3
FGSG_11678	0	0	0	0	0	0	0	0
FGSG_00107	134	133	43	40	1	1	4	4
FGSG_00108	0	0	0	0	0	0	0	0
FGSG_00109	0	0	0	0	0	0	0	0
FGSG_00110	0	0	0	0	0	0	0	0
FGSG_00111	0	0	0	0	0	0	0	0
FGSG_00112	0	0	0	0	0	0	0	0
FGSG_11679	45	41	2	2	0	0	0	0
FGSG_00114	0	0	0	0	0	0	0	0
FGSG_00115	27	28	1	1	0	0	0	0
FGSG_00116	1447	1433	48	51	54	54	27	26
FGSG_00117	346	347	24	25	0	0	6	6
FGSG_00118	2305	2281	10	9	21	21	4	4
FGSG_00119	0	0	0	0	0	0	0	0
FGSG_00120	0	0	0	0	0	0	0	0
FGSG_00121	0	0	0	0	0	0	0	0
FGSG_00122	0	0	0	0	0	0	0	0
FGSG_00123	0	0	0	0	0	0	0	0
FGSG_00124	2	2	0	0	0	0	1	1
FGSG_00125	40	41	0	0	0	0	3	3
FGSG_00126	11	11	0	0	0	0	3	3
FGSG_00127	0	0	1	0	0	0	1	1
FGSG_00128	0	0	0	0	0	0	0	0
FGSG_00129	5	5	10	10	0	0	0	0
FGSG_00130	0	0	0	0	0	0	0	0
FGSG_00131	0	0	0	0	0	0	0	0
FGSG_00132	4	4	0	0	0	0	0	0
FGSG_11680	0	0	1	1	0	0	2	2
FGSG_11681	0	0	0	0	0	0	0	0
FGSG_00134	28	28	1	1	1	1	0	0
FGSG_00135	0	0	0	0	0	0	0	0
FGSG_00136	57398	57271	3931	3873	45569	45465	4106	4037
FGSG_00137	2	2	0	1	2	2	1	1
FGSG_00138	45	45	6	4	1	1	4	3
FGSG_00139	147	148	15	13	8	8	4	4
FGSG_00140	10213	10170	1831	1749	6	6	41	42
FGSG_11682	7	7	0	0	0	0	0	0
FGSG_00141	0	0	1	1	0	0	0	0
FGSG_00142	4	4	3	2	0	0	0	0
FGSG_00143	0	0	0	0	0	0	1	1
FGSG_00144	20	20	6	6	0	0	0	0
FGSG_00145	0	0	0	0	0	0	0	0
FGSG_11683	0	0	0	0	0	0	0	0
FGSG_11684	0	0	0	0	0	0	0	0
FGSG_00147	10	9	1	1	0	0	2	2
FGSG_00148	4	4	1	1	0	0	0	0
FGSG_11685	0	0	0	0	0	0	0	0
FGSG_11686	0	0	1	1	0	0	1	1
FGSG_00150	890	890	191	187	140	141	62	63
FGSG_11687	3	3	0	0	4	4	3	3
FGSG_00151	0	0	0	0	0	0	1	1
FGSG_00152	1264	1240	147	151	62	60	20	20
FGSG_00153	92	82	7	8	0	0	4	3
FGSG_00154	0	0	0	0	0	0	0	0
FGSG_11688	0	0	0	0	0	0	0	0
FGSG_11689	0	0	0	0	0	0	0	0
FGSG_00156	0	0	0	0	0	0	0	0
FGSG_00157	0	0	0	0	0	0	0	0
FGSG_00158	0	0	0	0	0	0	0	0
FGSG_11690	0	0	0	0	0	0	1	1
FGSG_11691	0	0	0	0	0	0	0	0
FGSG_00160	486	486	79	80	2	2	0	0
FGSG_00161	82	82	15	14	1	1	2	2
FGSG_00162	0	0	0	0	0	0	0	0
FGSG_00163	0	0	0	0	0	0	2	2
FGSG_11692	0	0	1	1	0	0	0	0
FGSG_11693	0	0	0	0	0	0	0	0
FGSG_00164	0	0	0	0	0	0	0	0
FGSG_00165	44	44	3	3	0	0	12	11
FGSG_00166	981	976	88	85	13	13	9	9
FGSG_11694	3	3	1	1	0	0	1	0
FGSG_11695	2	2	0	0	0	0	0	0
FGSG_00168	753	748	70	65	21	21	2	1
FGSG_00169	1747	1761	38	38	37	37	3	3
FGSG_00170	748	730	89	88	18	22	8	8
FGSG_00171	26	26	0	0	77	77	2	1
FGSG_11696	1	1	3	3	14	11	3	3
FGSG_00172	57	57	13	14	0	0	1	1
FGSG_00173	145	143	49	46	0	0	43	45
FGSG_00174	464	459	32	33	25	24	33	33
FGSG_00175	5550	5420	247	229	6	6	301	295
FGSG_00176	1951	1944	139	142	0	0	19	16
FGSG_00177	264	264	41	39	7	7	9	7
FGSG_11697	753	744	86	72	10	10	11	12
FGSG_11698	81	80	9	11	0	0	2	2
FGSG_20500	6	15	2	2	0	0	0	0
FGSG_20501	25	22	1	2	1	0	1	1
FGSG_11699	305	302	14	12	17	16	6	6
FGSG_00179	1555	1531	76	74	77	78	4	3
FGSG_00180	153	156	52	50	26	24	27	26
FGSG_11700	57	61	14	18	14	13	16	16
FGSG_00181	3	3	0	0	0	0	1	1
FGSG_00182	457	459	41	41	0	0	9	9
FGSG_00183	87	86	7	7	7	7	6	6
FGSG_00184	7	7	1	1	9	9	1	1
FGSG_00185	590	587	42	45	98	100	24	24
FGSG_00186	1201	1197	128	127	6	6	19	19
FGSG_11701	84	81	16	16	1	1	1	1
FGSG_11702	116	122	12	14	2	2	2	1
FGSG_00188	609	602	33	35	3	3	4	4
FGSG_00189	369	369	78	75	0	0	11	10
FGSG_00190	1293	1285	167	163	18	17	13	14
FGSG_11703	830	839	224	216	35	33	50	51
FGSG_11704	1	1	0	0	0	0	0	0
FGSG_00192	11144	11117	1350	1340	55	55	121	120
FGSG_00193	15	15	4	4	0	0	12	12
FGSG_00194	1123	1118	240	240	13	13	10	11
FGSG_00195	47	48	11	11	0	0	2	2
FGSG_00196	2105	2074	266	267	0	0	7	5
FGSG_00197	3	3	0	0	0	0	0	0
FGSG_00198	0	0	3	3	0	0	1	1
FGSG_00199	0	0	0	0	0	0	0	0
FGSG_00200	446	446	39	39	2	2	38	38
FGSG_00201	462	457	37	39	7	7	5	5
FGSG_11705	94	94	7	7	0	0	4	4
FGSG_11706	621	621	41	38	13	13	11	11
FGSG_11707	4	4	0	0	0	0	0	0
FGSG_00203	1	1	1	1	0	0	2	2
FGSG_11708	0	0	0	0	0	0	0	0
FGSG_11709	30	30	9	9	0	0	0	0
FGSG_00205	0	0	1	1	0	0	0	0
FGSG_00206	0	0	0	0	0	0	1	1
FGSG_11710	0	0	0	0	0	0	0	0
FGSG_00207	143	132	12	11	3	3	2	1
FGSG_00208	3	3	1	1	0	0	0	0
FGSG_11711	0	0	4	4	0	0	0	0
FGSG_11712	0	0	0	0	0	0	0	0
FGSG_00209	2	2	2	2	0	0	0	0
FGSG_00210	0	0	0	0	0	0	1	1
FGSG_00211	0	0	0	0	0	0	1	1
FGSG_00212	1	0	1	1	0	0	2	2
FGSG_00213	0	0	1	1	0	0	0	0
FGSG_00214	0	0	3	2	0	0	1	1
FGSG_00215	0	0	2	2	0	0	0	0
FGSG_00216	0	0	0	0	0	0	2	1
FGSG_00217	842	845	343	337	19	19	102	101
FGSG_00218	5	5	4	4	0	0	0	0
FGSG_00219	3	0	2	2	0	0	2	2
